url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,734,415
/Unity-Technologies/Megacity-Sample/tree/master/Assets,128,83
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,82,44
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,60,37
/Unity-Technologies/Megacity-Sample/issues,44,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,36,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,32,12
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,30,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,27,19
/Unity-Technologies/Megacity-Sample/tree/master/Packages,24,17
