url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,681,389
/Unity-Technologies/Megacity-Sample/tree/master/Assets,80,55
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,42,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,23,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,23,17
/Unity-Technologies/Megacity-Sample/issues,16,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Prefabs,13,6
/Unity-Technologies/Megacity-Sample/tree/master/Packages,12,10
/Unity-Technologies/Megacity-Sample/find/master,11,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,11,9
