url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,852,485
/Unity-Technologies/Megacity-Sample/tree/master/Assets,189,75
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,106,40
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,73,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,52,16
/Unity-Technologies/Megacity-Sample/issues,45,30
/Unity-Technologies/Megacity-Sample/tree/master/Packages,36,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,25,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,24,15
/Unity-Technologies/Megacity-Sample/tree/master/UIElementsSchema,23,11
