time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-20 00:00:00+00:00,16,8,77,40
2023-03-21 00:00:00+00:00,19,14,157,53
2023-03-22 00:00:00+00:00,13,12,49,32
2023-03-23 00:00:00+00:00,11,9,158,50
2023-03-24 00:00:00+00:00,13,12,183,54
2023-03-25 00:00:00+00:00,26,13,99,24
2023-03-26 00:00:00+00:00,19,9,79,38
2023-03-27 00:00:00+00:00,17,11,246,56
2023-03-28 00:00:00+00:00,14,10,214,51
2023-03-29 00:00:00+00:00,16,13,141,63
2023-03-30 00:00:00+00:00,20,13,246,41
2023-03-31 00:00:00+00:00,6,5,166,55
2023-04-01 00:00:00+00:00,9,6,116,31
2023-04-02 00:00:00+00:00,7,7,84,41
