time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-09 00:00:00+00:00,28,12,92,34
2023-02-10 00:00:00+00:00,8,6,131,46
2023-02-11 00:00:00+00:00,16,7,96,30
2023-02-12 00:00:00+00:00,3,3,264,35
2023-02-13 00:00:00+00:00,15,12,160,50
2023-02-14 00:00:00+00:00,12,6,138,38
2023-02-15 00:00:00+00:00,7,7,92,30
2023-02-16 00:00:00+00:00,11,11,115,42
2023-02-17 00:00:00+00:00,13,10,172,62
2023-02-18 00:00:00+00:00,4,4,154,36
2023-02-19 00:00:00+00:00,10,9,80,31
2023-02-20 00:00:00+00:00,13,10,151,42
2023-02-21 00:00:00+00:00,12,12,174,65
2023-02-22 00:00:00+00:00,12,9,148,50
