url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,771,453
/Unity-Technologies/Megacity-Sample/tree/master/Assets,209,81
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,128,45
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,96,35
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,55,16
/Unity-Technologies/Megacity-Sample/issues,41,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,36,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,34,15
/Unity-Technologies/Megacity-Sample/tree/master/Packages,34,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,28,15
