url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,790,448
/Unity-Technologies/Megacity-Sample/tree/master/Assets,141,84
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,86,43
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,59,34
/Unity-Technologies/Megacity-Sample/issues,34,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,31,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,31,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,28,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,26,14
/Unity-Technologies/Megacity-Sample/issues/3,23,7
