url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,846,468
/Unity-Technologies/Megacity-Sample/tree/master/Assets,122,90
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,79,45
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,61,39
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,39,21
/Unity-Technologies/Megacity-Sample/issues,35,19
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,25,11
/Unity-Technologies/Megacity-Sample/tree/master/Packages,24,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,20,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,20,12
