time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-03 00:00:00+00:00,8,7,114,49
2023-03-04 00:00:00+00:00,12,11,247,46
2023-03-05 00:00:00+00:00,11,10,114,44
2023-03-06 00:00:00+00:00,8,5,89,37
2023-03-07 00:00:00+00:00,7,7,106,40
2023-03-08 00:00:00+00:00,13,10,166,60
2023-03-09 00:00:00+00:00,18,14,215,58
2023-03-10 00:00:00+00:00,11,11,135,46
2023-03-11 00:00:00+00:00,11,11,166,37
2023-03-12 00:00:00+00:00,13,13,102,40
2023-03-13 00:00:00+00:00,13,9,222,54
2023-03-14 00:00:00+00:00,10,9,109,48
2023-03-15 00:00:00+00:00,12,8,87,39
2023-03-16 00:00:00+00:00,8,7,350,48
