url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,735,426
/Unity-Technologies/Megacity-Sample/tree/master/Assets,119,76
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,71,42
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,49,32
/Unity-Technologies/Megacity-Sample/issues,43,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,26,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,24,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,24,9
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,22,12
/Unity-Technologies/Megacity-Sample/tree/master/Packages,19,14
