time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-09 00:00:00+00:00,18,14,215,58
2023-03-10 00:00:00+00:00,11,11,135,46
2023-03-11 00:00:00+00:00,11,11,166,37
2023-03-12 00:00:00+00:00,13,13,102,40
2023-03-13 00:00:00+00:00,13,9,222,54
2023-03-14 00:00:00+00:00,10,9,109,48
2023-03-15 00:00:00+00:00,12,8,87,39
2023-03-16 00:00:00+00:00,10,8,354,49
2023-03-17 00:00:00+00:00,9,8,133,35
2023-03-18 00:00:00+00:00,8,8,123,30
2023-03-19 00:00:00+00:00,7,7,78,38
2023-03-20 00:00:00+00:00,16,8,77,40
2023-03-21 00:00:00+00:00,19,14,157,53
2023-03-22 00:00:00+00:00,9,9,46,29
