url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,795,451
/Unity-Technologies/Megacity-Sample/tree/master/Assets,144,85
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,85,45
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,55,34
/Unity-Technologies/Megacity-Sample/issues,33,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,32,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,30,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,26,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,25,17
/Unity-Technologies/Megacity-Sample/issues/3,23,7
