url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,998,571
/Unity-Technologies/Megacity-Sample/tree/master/Assets,217,92
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,151,56
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,111,42
/Unity-Technologies/Megacity-Sample/issues,70,25
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,56,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,54,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,39,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,36,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,29,12
