url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,744,420
/Unity-Technologies/Megacity-Sample/tree/master/Assets,122,72
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,70,40
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,50,31
/Unity-Technologies/Megacity-Sample/issues,32,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,26,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,23,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,23,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,22,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils/KDTree,17,6
