url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,793,471
/Unity-Technologies/Megacity-Sample/tree/master/Assets,119,79
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,83,43
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,70,37
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,33,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,33,15
/Unity-Technologies/Megacity-Sample/issues,25,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,25,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,19,12
/Unity-Technologies/Megacity-Sample/issues/3,17,4
