url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,902,511
/Unity-Technologies/Megacity-Sample/tree/master/Assets,218,89
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,168,56
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,132,43
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,70,23
/Unity-Technologies/Megacity-Sample/issues,66,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,57,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,47,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,39,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,38,17
