url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,900,503
/Unity-Technologies/Megacity-Sample/tree/master/Assets,127,91
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,82,50
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,64,41
/Unity-Technologies/Megacity-Sample/issues,45,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,36,22
/Unity-Technologies/Megacity-Sample/tree/master/Packages,26,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,23,15
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,23,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,20,16
