url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,823,486
/Unity-Technologies/Megacity-Sample/tree/master/Assets,120,82
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,86,47
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,69,40
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,39,24
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,33,17
/Unity-Technologies/Megacity-Sample/issues,26,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,24,12
/Unity-Technologies/Megacity-Sample/tree/master/Packages,17,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,17,13
