url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,783,437
/Unity-Technologies/Megacity-Sample/tree/master/Assets,143,81
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,84,42
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,56,31
/Unity-Technologies/Megacity-Sample/issues,35,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,30,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,28,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,25,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,24,15
/Unity-Technologies/Megacity-Sample/issues/3,24,8
