url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,888,522
/Unity-Technologies/Megacity-Sample/tree/master/Assets,141,85
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,84,48
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,57,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,44,22
/Unity-Technologies/Megacity-Sample/issues,43,30
/Unity-Technologies/Megacity-Sample/tree/master/Packages,22,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,22,9
/Unity-Technologies/Megacity-Sample/commits/master,20,16
/Unity-Technologies/Megacity-Sample/find/master,20,10
