url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,880,492
/Unity-Technologies/Megacity-Sample/tree/master/Assets,192,77
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,99,44
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,58,36
/Unity-Technologies/Megacity-Sample/issues,45,31
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,45,17
/Unity-Technologies/Megacity-Sample/tree/master/Packages,37,16
/Unity-Technologies/Megacity-Sample/tree/master/UIElementsSchema,26,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,22,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,21,9
