url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,791,448
/Unity-Technologies/Megacity-Sample/tree/master/Assets,197,84
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,131,47
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,103,37
/Unity-Technologies/Megacity-Sample/issues,62,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,54,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,42,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,35,10
/Unity-Technologies/Megacity-Sample/tree/master/Packages,34,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,34,12
