url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,742,433
/Unity-Technologies/Megacity-Sample/tree/master/Assets,121,72
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,71,40
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,49,31
/Unity-Technologies/Megacity-Sample/issues,43,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,26,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,25,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,24,15
/Unity-Technologies/Megacity-Sample/tree/master/Packages,20,15
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,20,10
