url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,882,515
/Unity-Technologies/Megacity-Sample/tree/master/Assets,126,83
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,84,46
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,60,33
/Unity-Technologies/Megacity-Sample/issues,40,27
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,36,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,25,12
/Unity-Technologies/Megacity-Sample/tree/master/Packages,24,19
/Unity-Technologies/Megacity-Sample/commits/master,23,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,23,12
