url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,908,510
/Unity-Technologies/Megacity-Sample/tree/master/Assets,130,97
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,81,52
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,63,44
/Unity-Technologies/Megacity-Sample/issues,40,26
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,37,22
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,26,12
/Unity-Technologies/Megacity-Sample/tree/master/Packages,25,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,21,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,19,16
