url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,926,553
/Unity-Technologies/Megacity-Sample/tree/master/Assets,125,86
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,79,45
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,77,39
/Unity-Technologies/Megacity-Sample/issues,55,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,40,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,30,18
/Unity-Technologies/Megacity-Sample/issues/1,25,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,23,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,22,14
