time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-05 00:00:00+00:00,13,11,167,51
2023-04-06 00:00:00+00:00,21,15,151,55
2023-04-07 00:00:00+00:00,8,7,159,51
2023-04-08 00:00:00+00:00,12,8,150,35
2023-04-09 00:00:00+00:00,10,10,140,33
2023-04-10 00:00:00+00:00,13,10,160,43
2023-04-11 00:00:00+00:00,26,25,222,59
2023-04-12 00:00:00+00:00,28,13,227,49
2023-04-13 00:00:00+00:00,16,8,145,45
2023-04-14 00:00:00+00:00,20,15,137,45
2023-04-15 00:00:00+00:00,15,11,84,33
2023-04-16 00:00:00+00:00,6,6,93,29
2023-04-17 00:00:00+00:00,26,16,246,55
2023-04-18 00:00:00+00:00,5,5,56,36
