url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,716,421
/Unity-Technologies/Megacity-Sample/tree/master/Assets,127,61
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,80,35
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,50,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,32,15
/Unity-Technologies/Megacity-Sample/tree/master/Packages,26,13
/Unity-Technologies/Megacity-Sample/issues,25,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/Traffic,24,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,20,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,17,10
