url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,729,433
/Unity-Technologies/Megacity-Sample/tree/master/Assets,108,60
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,65,35
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,41,27
/Unity-Technologies/Megacity-Sample/issues,27,22
/Unity-Technologies/Megacity-Sample/tree/master/Packages,25,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,23,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/Traffic,19,5
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,17,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,17,11
