time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-14 00:00:00+00:00,20,15,137,45
2023-04-15 00:00:00+00:00,15,11,84,33
2023-04-16 00:00:00+00:00,6,6,93,29
2023-04-17 00:00:00+00:00,26,16,246,55
2023-04-18 00:00:00+00:00,7,6,64,40
2023-04-19 00:00:00+00:00,18,11,310,42
2023-04-20 00:00:00+00:00,17,11,91,41
2023-04-21 00:00:00+00:00,8,8,130,45
2023-04-22 00:00:00+00:00,11,10,135,26
2023-04-23 00:00:00+00:00,10,9,82,33
2023-04-24 00:00:00+00:00,21,14,188,49
2023-04-25 00:00:00+00:00,17,15,125,53
2023-04-26 00:00:00+00:00,12,9,119,45
2023-04-27 00:00:00+00:00,6,6,88,34
