url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,744,436
/Unity-Technologies/Megacity-Sample/tree/master/Assets,107,67
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,65,34
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,59,39
/Unity-Technologies/Megacity-Sample/issues,42,23
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,34,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,26,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,21,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,18,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,18,12
