time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-03 00:00:00+00:00,11,9,115,33
2023-05-04 00:00:00+00:00,7,5,104,46
2023-05-05 00:00:00+00:00,9,8,89,44
2023-05-06 00:00:00+00:00,6,6,187,42
2023-05-07 00:00:00+00:00,10,8,119,37
2023-05-08 00:00:00+00:00,16,15,160,48
2023-05-09 00:00:00+00:00,11,10,188,46
2023-05-10 00:00:00+00:00,13,9,210,46
2023-05-11 00:00:00+00:00,9,8,105,52
2023-05-12 00:00:00+00:00,15,15,273,84
2023-05-13 00:00:00+00:00,17,14,140,44
2023-05-14 00:00:00+00:00,9,8,44,23
2023-05-15 00:00:00+00:00,37,20,269,65
2023-05-16 00:00:00+00:00,12,9,340,65
