url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,1112,632
/Unity-Technologies/Megacity-Sample/tree/master/Assets,262,107
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,160,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,110,44
/Unity-Technologies/Megacity-Sample/issues,80,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,58,24
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,56,23
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,39,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,34,12
/Unity-Technologies/Megacity-Sample/branches,33,23
