referrer,views_total,views_unique
github.com,698,148
unity.com,678,184
Google,473,145
forum.unity.com,239,47
docs.unity3d.com,108,16
youtube.com,94,29
yandex.ru,39,5
Bing,36,10
DuckDuckGo,20,3
qa-project-repository.ds.unity3d.com,14,2
