url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,806,462
/Unity-Technologies/Megacity-Sample/tree/master/Assets,141,83
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,85,47
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,55,36
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,32,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,30,16
/Unity-Technologies/Megacity-Sample/issues,28,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,27,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,24,14
/Unity-Technologies/Megacity-Sample/tree/master/Packages,21,20
