time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-29 00:00:00+00:00,16,13,141,63
2023-03-30 00:00:00+00:00,20,13,246,41
2023-03-31 00:00:00+00:00,6,5,166,55
2023-04-01 00:00:00+00:00,9,6,116,31
2023-04-02 00:00:00+00:00,9,9,96,43
2023-04-03 00:00:00+00:00,14,12,168,59
2023-04-04 00:00:00+00:00,15,11,253,68
2023-04-05 00:00:00+00:00,13,11,167,51
2023-04-06 00:00:00+00:00,21,15,151,55
2023-04-07 00:00:00+00:00,8,7,159,51
2023-04-08 00:00:00+00:00,12,8,150,35
2023-04-09 00:00:00+00:00,10,10,140,33
2023-04-10 00:00:00+00:00,13,10,160,43
2023-04-11 00:00:00+00:00,24,24,221,58
