url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,703,412
/Unity-Technologies/Megacity-Sample/tree/master/Assets,99,59
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,59,37
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,43,31
/Unity-Technologies/Megacity-Sample/issues,25,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,22,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,21,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,21,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,21,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,19,13
