url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,772,445
/Unity-Technologies/Megacity-Sample/tree/master/Assets,181,80
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,118,44
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,94,34
/Unity-Technologies/Megacity-Sample/issues,57,23
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,53,16
/Unity-Technologies/Megacity-Sample/tree/master/Packages,35,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,34,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,34,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,30,8
