time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,11,11,134,61
2023-02-28 00:00:00+00:00,9,8,131,40
2023-03-01 00:00:00+00:00,19,17,177,45
2023-03-02 00:00:00+00:00,23,18,124,47
2023-03-03 00:00:00+00:00,8,7,114,49
2023-03-04 00:00:00+00:00,12,11,247,46
2023-03-05 00:00:00+00:00,11,10,114,44
2023-03-06 00:00:00+00:00,8,5,89,37
2023-03-07 00:00:00+00:00,7,7,106,40
2023-03-08 00:00:00+00:00,13,10,166,60
2023-03-09 00:00:00+00:00,18,14,215,58
2023-03-10 00:00:00+00:00,11,11,135,46
2023-03-11 00:00:00+00:00,11,11,166,37
2023-03-12 00:00:00+00:00,10,10,101,39
