url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,685,386
/Unity-Technologies/Megacity-Sample/tree/master/Assets,75,55
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,36,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,22,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,20,17
/Unity-Technologies/Megacity-Sample/issues,13,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Prefabs,12,5
/Unity-Technologies/Megacity-Sample/tree/master/Packages,11,10
/Unity-Technologies/Megacity-Sample/find/master,11,7
/Unity-Technologies/Megacity-Sample/tree/master/.github/workflows,11,7
