time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-22 00:00:00+00:00,7,6,178,64
2023-05-23 00:00:00+00:00,15,13,213,74
2023-05-24 00:00:00+00:00,30,19,237,65
2023-05-25 00:00:00+00:00,14,13,122,56
2023-05-26 00:00:00+00:00,11,10,339,49
2023-05-27 00:00:00+00:00,13,9,126,32
2023-05-28 00:00:00+00:00,8,8,158,38
2023-05-29 00:00:00+00:00,14,11,252,54
2023-05-30 00:00:00+00:00,9,9,239,58
2023-05-31 00:00:00+00:00,13,10,296,64
2023-06-01 00:00:00+00:00,12,11,348,99
2023-06-02 00:00:00+00:00,16,15,249,109
2023-06-03 00:00:00+00:00,9,8,196,53
2023-06-04 00:00:00+00:00,5,4,263,53
