url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,812,456
/Unity-Technologies/Megacity-Sample/tree/master/Assets,179,76
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,102,42
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,79,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,53,15
/Unity-Technologies/Megacity-Sample/issues,37,22
/Unity-Technologies/Megacity-Sample/tree/master/Packages,30,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,28,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,25,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,23,9
