url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,821,485
/Unity-Technologies/Megacity-Sample/tree/master/Assets,125,84
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,93,49
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,73,41
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,40,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,39,24
/Unity-Technologies/Megacity-Sample/issues,25,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,25,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,21,14
/Unity-Technologies/Megacity-Sample/issues/3,17,4
