time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-17 00:00:00+00:00,16,15,170,52
2023-05-18 00:00:00+00:00,12,9,168,51
2023-05-19 00:00:00+00:00,5,5,66,36
2023-05-20 00:00:00+00:00,15,13,251,31
2023-05-21 00:00:00+00:00,5,4,150,42
2023-05-22 00:00:00+00:00,7,6,178,64
2023-05-23 00:00:00+00:00,15,13,213,74
2023-05-24 00:00:00+00:00,30,19,237,65
2023-05-25 00:00:00+00:00,14,13,122,56
2023-05-26 00:00:00+00:00,11,10,339,49
2023-05-27 00:00:00+00:00,13,9,126,32
2023-05-28 00:00:00+00:00,8,8,158,38
2023-05-29 00:00:00+00:00,14,11,252,54
2023-05-30 00:00:00+00:00,8,8,217,55
