time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-20 00:00:00+00:00,13,10,151,42
2023-02-21 00:00:00+00:00,12,12,174,65
2023-02-22 00:00:00+00:00,15,11,152,53
2023-02-23 00:00:00+00:00,28,21,203,71
2023-02-24 00:00:00+00:00,10,10,170,63
2023-02-25 00:00:00+00:00,17,13,342,53
2023-02-26 00:00:00+00:00,20,15,136,46
2023-02-27 00:00:00+00:00,11,11,134,61
2023-02-28 00:00:00+00:00,9,8,131,40
2023-03-01 00:00:00+00:00,19,17,177,45
2023-03-02 00:00:00+00:00,23,18,124,47
2023-03-03 00:00:00+00:00,8,7,114,49
2023-03-04 00:00:00+00:00,12,11,247,46
2023-03-05 00:00:00+00:00,8,8,109,40
