url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,898,518
/Unity-Technologies/Megacity-Sample/tree/master/Assets,136,89
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,84,50
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,60,35
/Unity-Technologies/Megacity-Sample/issues,42,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,38,21
/Unity-Technologies/Megacity-Sample/tree/master/Packages,24,19
/Unity-Technologies/Megacity-Sample/commits/master,24,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,23,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,21,16
