time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-26 00:00:00+00:00,12,9,119,45
2023-04-27 00:00:00+00:00,9,9,112,36
2023-04-28 00:00:00+00:00,8,8,99,44
2023-04-29 00:00:00+00:00,10,8,106,33
2023-04-30 00:00:00+00:00,6,5,116,33
2023-05-01 00:00:00+00:00,12,9,135,36
2023-05-02 00:00:00+00:00,7,6,85,38
2023-05-03 00:00:00+00:00,11,9,115,33
2023-05-04 00:00:00+00:00,7,5,104,46
2023-05-05 00:00:00+00:00,9,8,89,44
2023-05-06 00:00:00+00:00,6,6,187,42
2023-05-07 00:00:00+00:00,10,8,119,37
2023-05-08 00:00:00+00:00,16,15,160,48
2023-05-09 00:00:00+00:00,8,7,181,44
