url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,795,482
/Unity-Technologies/Megacity-Sample/tree/master/Assets,119,76
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,74,38
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,49,28
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,40,19
/Unity-Technologies/Megacity-Sample/issues,31,20
/Unity-Technologies/Megacity-Sample/find/master,23,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,23,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,16,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scenes,16,9
