url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,761,447
/Unity-Technologies/Megacity-Sample/tree/master/Assets,140,74
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,72,39
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,46,29
/Unity-Technologies/Megacity-Sample/issues,37,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,35,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,25,10
/Unity-Technologies/Megacity-Sample/find/master,24,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,18,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,17,11
