url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,703,416
/Unity-Technologies/Megacity-Sample/tree/master/Assets,108,63
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,58,37
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,44,31
/Unity-Technologies/Megacity-Sample/issues,29,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,24,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,21,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,18,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,18,11
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,16,9
